Year,State,Key,Region name,Active participants,Poppulation,Normalised Active Participants
2021,ACT,801,Australian Capital Territory,8966,412025,218
2021,NSW,119,Sydney - Inner South West,9306,611111,152
2021,NSW,125,Sydney - Parramatta,8213,481486,171
2021,NSW,127,Sydney - South West,8745,433039,202
2021,NSW,121,Sydney - North Sydney and Hornsby,4545,431365,105
2021,NSW,111,Newcastle and Lake Macquarie,11222,372516,301
2021,NSW,116,Sydney - Blacktown,8012,360420,222
2021,NSW,117,Sydney - City and Inner South,3518,349046,101
2021,NSW,102,Central Coast,8799,339442,259
2021,NSW,124,Sydney - Outer West and Blue Mountains,8038,319258,252
2021,NSW,120,Sydney - Inner West,3456,314231,110
2021,NSW,107,Illawarra,6465,306795,211
2021,NSW,118,Sydney - Eastern Suburbs,2770,289775,96
2021,NSW,123,Sydney - Outer South West,7029,276174,255
2021,NSW,106,Hunter Valley exc Newcastle,8526,272630,313
2021,NSW,122,Sydney - Northern Beaches,3067,268870,114
2021,NSW,112,Richmond - Tweed,6165,248630,248
2021,NSW,115,Sydney - Baulkham Hills and Hawkesbury,3411,241029,142
2021,NSW,128,Sydney - Sutherland,3289,227146,145
2021,NSW,101,Capital Region,4772,225797,211
2021,NSW,108,Mid North Coast,6370,218360,292
2021,NSW,103,Central West,4794,211356,227
2021,NSW,126,Sydney - Ryde,2688,194527,138
2021,NSW,110,New England and North West,4119,186305,221
2021,NSW,113,Riverina,3485,160156,218
2021,NSW,114,Southern Highlands and Shoalhaven,3485,152584,228
2021,NSW,104,Coffs Harbour - Grafton,3501,140150,250
2021,NSW,109,Murray,2993,118977,252
2021,NSW,105,Far West and Orana,2792,116761,239
2021,NT,702,Northern Territory - Outback,1880,98598,191
2021,NT,701,Darwin,2677,148919,180
2021,QLD,315,Queensland - Outback,1195,82186,145
2021,QLD,309,Gold Coast,10729,606073,177
2021,QLD,316,Sunshine Coast,7390,365764,202
2021,QLD,303,Brisbane - South,5646,363783,155
2021,QLD,310,Ipswich,9033,342444,264
2021,QLD,311,Logan - Beaudesert,7756,335006,232
2021,QLD,319,Wide Bay,8803,294337,299
2021,QLD,305,Brisbane Inner City,3343,273624,122
2021,QLD,306,Cairns,4590,249671,184
2021,QLD,313,Moreton Bay - North,6761,247397,273
2021,QLD,318,Townsville,5640,235634,239
2021,QLD,301,Brisbane - East,4720,234582,201
2021,QLD,308,Central Queensland,5598,225302,248
2021,QLD,302,Brisbane - North,3924,218454,180
2021,QLD,314,Moreton Bay - South,4322,207827,208
2021,QLD,304,Brisbane - West,2867,189400,151
2021,QLD,312,Mackay - Isaac - Whitsunday,3337,172557,193
2021,QLD,317,Toowoomba,4206,154805,272
2021,QLD,307,Darling Downs - Maranoa,2582,128783,200
2021,SA,406,South Australia - Outback,1904,85127,224
2021,SA,402,Adelaide - North,14302,434336,329
2021,SA,403,Adelaide - South,9527,365104,261
2021,SA,401,Adelaide - Central and Hills,5463,300017,182
2021,SA,404,Adelaide - West,5578,234981,237
2021,SA,407,South Australia - South East,4503,190793,236
2021,SA,405,Barossa - Yorke - Mid North,2684,113565,236
2021,TAS,603,South East,593,38062,156
2021,TAS,601,Hobart,4943,229260,216
2021,TAS,602,Launceston and North East,3292,143815,229
2021,TAS,604,West and North West,2630,111273,236
2021,VIC,212,Melbourne - South East,15716,818212,192
2021,VIC,213,Melbourne - West,18093,791104,229
2021,VIC,206,Melbourne - Inner,7959,658882,121
2021,VIC,209,Melbourne - North East,11208,533165,210
2021,VIC,211,Melbourne - Outer East,11260,525721,214
2021,VIC,208,Melbourne - Inner South,6266,432935,145
2021,VIC,210,Melbourne - North West,9626,393316,245
2021,VIC,207,Melbourne - Inner East,5410,386041,140
2021,VIC,214,Mornington Peninsula,7325,304552,241
2021,VIC,203,Geelong,9278,293975,316
2021,VIC,205,Latrobe - Gippsland,7391,279310,265
2021,VIC,204,Hume,4385,174580,251
2021,VIC,201,Ballarat,4368,162339,269
2021,VIC,202,Bendigo,5028,157806,319
2021,VIC,215,North West,3812,152073,251
2021,VIC,216,Shepparton,3456,132892,260
2021,VIC,217,Warrnambool and South West,3276,124703,263
2021,WA,510,Western Australia - Outback (North),1362,97506,140
2021,WA,505,Perth - North West,8578,560831,153
2021,WA,506,Perth - South East,8851,510653,173
2021,WA,507,Perth - South West,7520,423839,177
2021,WA,504,Perth - North East,5718,262253,218
2021,WA,501,Bunbury,3665,181052,202
2021,WA,503,Perth - Inner,2070,179755,115
2021,WA,509,Western Australia - Wheat Belt,2085,137641,151
2021,WA,511,Western Australia - Outback (South),1725,120092,144
