Year,State,Key,Region name,Active participants
2023,QLD,315,Queensland - Outback,1560
2023,QLD,316,Sunshine Coast,10055
2023,QLD,317,Toowoomba,5218
2023,QLD,318,Townsville,7316
2023,QLD,319,Wide Bay,11331
2023,QLD,702,Northern Territory - Outback,0
2023,SA,401,Adelaide - Central and Hills,6942
2023,SA,402,Adelaide - North,18378
2023,SA,403,Adelaide - South,11948
2023,SA,404,Adelaide - West,6980
2023,SA,405,Barossa - Yorke - Mid North,3318
2023,SA,406,South Australia - Outback,2337
2023,SA,407,South Australia - South East,5594
2023,TAS,601,Hobart,6027
2023,TAS,602,Launceston and North East,4017
2023,TAS,603,South East,772
2023,TAS,604,West and North West,3038
2023,VIC,201,Ballarat,5568
2023,VIC,202,Bendigo,6459
2023,VIC,203,Geelong,11463
2023,VIC,204,Hume,5501
2023,VIC,205,Latrobe - Gippsland,9278
2023,VIC,206,Melbourne - Inner,10214
2023,VIC,207,Melbourne - Inner East,6496
2023,VIC,208,Melbourne - Inner South,7958
2023,VIC,209,Melbourne - North East,14744
2023,VIC,210,Melbourne - North West,12831
2023,VIC,211,Melbourne - Outer East,14036
2023,VIC,212,Melbourne - South East,20630
2023,VIC,213,Melbourne - West,25242
2023,VIC,214,Mornington Peninsula,9679
2023,VIC,215,North West,4820
2023,VIC,216,Shepparton,4338
2023,VIC,217,Warrnambool and South West,3948
2023,WA,406,South Australia - Outback,0
2023,WA,501,Bunbury,4514
2023,WA,502,Mandurah,2467
2023,WA,503,Perth - Inner,2605
2023,WA,504,Perth - North East,6978
2023,WA,505,Perth - North West,11263
2023,WA,506,Perth - South East,11297
2023,WA,507,Perth - South West,9772
2023,WA,509,Western Australia - Wheat Belt,2610
2023,WA,510,Western Australia - Outback (North),1703
2023,WA,511,Western Australia - Outback (South),2393
2023,WA,702,Northern Territory - Outback,19
2023,WA,901,Other Territories,0
2022,ACT,801,Australian Capital Territory,9792
2022,NSW,101,Capital Region,5197
2022,NSW,102,Central Coast,9747
2022,NSW,103,Central West,5402
2022,NSW,104,Coffs Harbour - Grafton,3897
2022,NSW,105,Far West and Orana,3191
2022,NSW,106,Hunter Valley exc Newcastle,9534
2022,NSW,107,Illawarra,7185
2022,NSW,108,Mid North Coast,7157
2022,NSW,109,Murray,3335
2022,NSW,110,New England and North West,4632
2022,NSW,111,Newcastle and Lake Macquarie,12247
2022,NSW,112,Richmond - Tweed,6735
2022,NSW,113,Riverina,3885
2022,NSW,114,Southern Highlands and Shoalhaven,3809
2022,NSW,115,Sydney - Baulkham Hills and Hawkesbury,3947
2022,NSW,116,Sydney - Blacktown,9313
2022,NSW,117,Sydney - City and Inner South,3995
2022,NSW,118,Sydney - Eastern Suburbs,3144
2022,NSW,119,Sydney - Inner South West,10505
2022,NSW,120,Sydney - Inner West,3854
2022,NSW,121,Sydney - North Sydney and Hornsby,5060
2022,NSW,122,Sydney - Northern Beaches,3357
2022,NSW,123,Sydney - Outer South West,8067
2022,NSW,124,Sydney - Outer West and Blue Mountains,9081
2022,NSW,125,Sydney - Parramatta,9216
2022,NSW,126,Sydney - Ryde,3008
2022,NSW,127,Sydney - South West,9937
2022,NSW,128,Sydney - Sutherland,3738
2022,NT,701,Darwin,3161
2022,NT,702,Northern Territory - Outback,2135
2022,OT,901,Other Territories,63
2022,QLD,301,Brisbane - East,5544
2022,QLD,302,Brisbane - North,4520
2022,QLD,303,Brisbane - South,6583
2022,QLD,304,Brisbane - West,3347
2022,QLD,305,Brisbane Inner City,3850
2022,QLD,306,Cairns,5509
2022,QLD,307,Darling Downs - Maranoa,3041
2022,QLD,308,Central Queensland,6618
2022,QLD,309,Gold Coast,12858
2022,QLD,310,Ipswich,10653
2022,QLD,311,Logan - Beaudesert,9655
2022,QLD,312,Mackay - Isaac - Whitsunday,3907
2022,QLD,313,Moreton Bay - North,8036
2022,QLD,314,Moreton Bay - South,5155
2022,QLD,315,Queensland - Outback,1376
2022,QLD,316,Sunshine Coast,8746
2022,QLD,317,Toowoomba,4777
2022,QLD,318,Townsville,6582
2022,QLD,319,Wide Bay,10128
2022,SA,401,Adelaide - Central and Hills,6222
2022,SA,402,Adelaide - North,16282
2022,SA,403,Adelaide - South,10651
2022,SA,404,Adelaide - West,6263
2022,SA,405,Barossa - Yorke - Mid North,3049
2022,SA,406,South Australia - Outback,2121
2022,SA,407,South Australia - South East,5065
2022,TAS,601,Hobart,5578
2022,TAS,602,Launceston and North East,3701
2022,TAS,603,South East,686
2022,TAS,604,West and North West,2852
2022,VIC,201,Ballarat,4996
2022,VIC,202,Bendigo,5692
2022,VIC,203,Geelong,10327
2022,VIC,204,Hume,4910
2022,VIC,205,Latrobe - Gippsland,8377
2022,VIC,206,Melbourne - Inner,9048
2022,VIC,207,Melbourne - Inner East,5989
2022,VIC,208,Melbourne - Inner South,7075
2022,VIC,209,Melbourne - North East,12795
2022,VIC,210,Melbourne - North West,11203
2022,VIC,211,Melbourne - Outer East,12581
2022,VIC,212,Melbourne - South East,18216
2022,VIC,213,Melbourne - West,21667
2022,VIC,214,Mornington Peninsula,8464
2022,VIC,215,North West,4321
2022,VIC,216,Shepparton,3913
2022,VIC,217,Warrnambool and South West,3619
2022,WA,501,Bunbury,4072
2022,WA,502,Mandurah,2183
2022,WA,503,Perth - Inner,2380
2022,WA,504,Perth - North East,6332
2022,WA,505,Perth - North West,9918
2022,WA,506,Perth - South East,10002
2022,WA,507,Perth - South West,8615
2022,WA,509,Western Australia - Wheat Belt,2339
2022,WA,510,Western Australia - Outback (North),1508
2022,WA,511,Western Australia - Outback (South),2085
2021,ACT,801,Australian Capital Territory,8966
2021,NSW,101,Capital Region,4772
2021,NSW,102,Central Coast,8799
2021,NSW,103,Central West,4794
2021,NSW,104,Coffs Harbour - Grafton,3501
2021,NSW,105,Far West and Orana,2792
2021,NSW,106,Hunter Valley exc Newcastle,8526
2021,NSW,107,Illawarra,6465
2021,NSW,108,Mid North Coast,6370
2021,NSW,109,Murray,2993
2021,NSW,110,New England and North West,4119
2021,NSW,111,Newcastle and Lake Macquarie,11222
2021,NSW,112,Richmond - Tweed,6165
2021,NSW,113,Riverina,3485
2021,NSW,114,Southern Highlands and Shoalhaven,3485
2021,NSW,115,Sydney - Baulkham Hills and Hawkesbury,3411
2021,NSW,116,Sydney - Blacktown,8012
2021,NSW,117,Sydney - City and Inner South,3518
2021,NSW,118,Sydney - Eastern Suburbs,2770
2021,NSW,119,Sydney - Inner South West,9306
2021,NSW,120,Sydney - Inner West,3456
