Year,State,Key,Region name,Active participants,Poppulation,Normalised Active Participants
2022,ACT,801,Australian Capital Territory,9792,412025,238
2022,NSW,119,Sydney - Inner South West,10505,611111,172
2022,NSW,125,Sydney - Parramatta,9216,481486,191
2022,NSW,127,Sydney - South West,9937,433039,229
2022,NSW,121,Sydney - North Sydney and Hornsby,5060,431365,117
2022,NSW,111,Newcastle and Lake Macquarie,12247,372516,329
2022,NSW,116,Sydney - Blacktown,9313,360420,258
2022,NSW,117,Sydney - City and Inner South,3995,349046,114
2022,NSW,102,Central Coast,9747,339442,287
2022,NSW,124,Sydney - Outer West and Blue Mountains,9081,319258,284
2022,NSW,120,Sydney - Inner West,3854,314231,123
2022,NSW,107,Illawarra,7185,306795,234
2022,NSW,118,Sydney - Eastern Suburbs,3144,289775,108
2022,NSW,123,Sydney - Outer South West,8067,276174,292
2022,NSW,106,Hunter Valley exc Newcastle,9534,272630,350
2022,NSW,122,Sydney - Northern Beaches,3357,268870,125
2022,NSW,112,Richmond - Tweed,6735,248630,271
2022,NSW,115,Sydney - Baulkham Hills and Hawkesbury,3947,241029,164
2022,NSW,128,Sydney - Sutherland,3738,227146,165
2022,NSW,101,Capital Region,5197,225797,230
2022,NSW,108,Mid North Coast,7157,218360,328
2022,NSW,103,Central West,5402,211356,256
2022,NSW,126,Sydney - Ryde,3008,194527,155
2022,NSW,110,New England and North West,4632,186305,249
2022,NSW,113,Riverina,3885,160156,243
2022,NSW,114,Southern Highlands and Shoalhaven,3809,152584,250
2022,NSW,104,Coffs Harbour - Grafton,3897,140150,278
2022,NSW,109,Murray,3335,118977,280
2022,NSW,105,Far West and Orana,3191,116761,273
2022,NT,702,Northern Territory - Outback,2135,98598,217
2022,NT,701,Darwin,3161,148919,212
2022,QLD,315,Queensland - Outback,1376,82186,167
2022,QLD,309,Gold Coast,12858,606073,212
2022,QLD,316,Sunshine Coast,8746,365764,239
2022,QLD,303,Brisbane - South,6583,363783,181
2022,QLD,310,Ipswich,10653,342444,311
2022,QLD,311,Logan - Beaudesert,9655,335006,288
2022,QLD,319,Wide Bay,10128,294337,344
2022,QLD,305,Brisbane Inner City,3850,273624,141
2022,QLD,306,Cairns,5509,249671,221
2022,QLD,313,Moreton Bay - North,8036,247397,325
2022,QLD,318,Townsville,6582,235634,279
2022,QLD,301,Brisbane - East,5544,234582,236
2022,QLD,308,Central Queensland,6618,225302,294
2022,QLD,302,Brisbane - North,4520,218454,207
2022,QLD,314,Moreton Bay - South,5155,207827,248
2022,QLD,304,Brisbane - West,3347,189400,177
2022,QLD,312,Mackay - Isaac - Whitsunday,3907,172557,226
2022,QLD,317,Toowoomba,4777,154805,309
2022,QLD,307,Darling Downs - Maranoa,3041,128783,236
2022,SA,406,South Australia - Outback,2121,85127,249
2022,SA,402,Adelaide - North,16282,434336,375
2022,SA,403,Adelaide - South,10651,365104,292
2022,SA,401,Adelaide - Central and Hills,6222,300017,207
2022,SA,404,Adelaide - West,6263,234981,267
2022,SA,407,South Australia - South East,5065,190793,265
2022,SA,405,Barossa - Yorke - Mid North,3049,113565,268
2022,TAS,603,South East,686,38062,180
2022,TAS,601,Hobart,5578,229260,243
2022,TAS,602,Launceston and North East,3701,143815,257
2022,TAS,604,West and North West,2852,111273,256
2022,VIC,212,Melbourne - South East,18216,818212,223
2022,VIC,213,Melbourne - West,21667,791104,274
2022,VIC,206,Melbourne - Inner,9048,658882,137
2022,VIC,209,Melbourne - North East,12795,533165,240
2022,VIC,211,Melbourne - Outer East,12581,525721,239
2022,VIC,208,Melbourne - Inner South,7075,432935,163
2022,VIC,210,Melbourne - North West,11203,393316,285
2022,VIC,207,Melbourne - Inner East,5989,386041,155
2022,VIC,214,Mornington Peninsula,8464,304552,278
2022,VIC,203,Geelong,10327,293975,351
2022,VIC,205,Latrobe - Gippsland,8377,279310,300
2022,VIC,204,Hume,4910,174580,281
2022,VIC,201,Ballarat,4996,162339,308
2022,VIC,202,Bendigo,5692,157806,361
2022,VIC,215,North West,4321,152073,284
2022,VIC,216,Shepparton,3913,132892,294
2022,VIC,217,Warrnambool and South West,3619,124703,290
2022,WA,510,Western Australia - Outback (North),1508,97506,155
2022,WA,505,Perth - North West,9918,560831,177
2022,WA,506,Perth - South East,10002,510653,196
2022,WA,507,Perth - South West,8615,423839,203
2022,WA,504,Perth - North East,6332,262253,241
2022,WA,501,Bunbury,4072,181052,225
2022,WA,503,Perth - Inner,2380,179755,132
2022,WA,509,Western Australia - Wheat Belt,2339,137641,170
2022,WA,511,Western Australia - Outback (South),2085,120092,174
