Year,State,Key,Region name,Active participants,Poppulation,Normalised Active Participants
2024,ACT,801,Australian Capital Territory,10928,412025,265
2024,NSW,901,Other Territories,12,4621,26
2024,NSW,119,Sydney - Inner South West,11852,611111,194
2024,NSW,125,Sydney - Parramatta,10458,481486,217
2024,NSW,127,Sydney - South West,11584,433039,268
2024,NSW,121,Sydney - North Sydney and Hornsby,5785,431365,134
2024,NSW,801,Australian Capital Territory,0,412025,0
2024,NSW,111,Newcastle and Lake Macquarie,13785,372516,370
2024,NSW,116,Sydney - Blacktown,10897,360420,302
2024,NSW,117,Sydney - City and Inner South,4456,349046,128
2024,NSW,102,Central Coast,11142,339442,328
2024,NSW,124,Sydney - Outer West and Blue Mountains,10437,319258,327
2024,NSW,120,Sydney - Inner West,4307,314231,137
2024,NSW,107,Illawarra,8276,306795,270
2024,NSW,118,Sydney - Eastern Suburbs,3632,289775,125
2024,NSW,123,Sydney - Outer South West,9381,276174,340
2024,NSW,106,Hunter Valley exc Newcastle,11105,272630,407
2024,NSW,122,Sydney - Northern Beaches,3864,268870,144
2024,NSW,112,Richmond - Tweed,7751,248630,312
2024,NSW,115,Sydney - Baulkham Hills and Hawkesbury,4569,241029,190
2024,NSW,128,Sydney - Sutherland,4393,227146,193
2024,NSW,101,Capital Region,5925,225797,262
2024,NSW,108,Mid North Coast,8201,218360,376
2024,NSW,103,Central West,6005,211356,284
2024,NSW,126,Sydney - Ryde,3359,194527,173
2024,NSW,110,New England and North West,5142,186305,276
2024,NSW,113,Riverina,4444,160156,277
2024,NSW,114,Southern Highlands and Shoalhaven,4211,152584,276
2024,NSW,104,Coffs Harbour - Grafton,4501,140150,321
2024,NSW,109,Murray,3855,118977,324
2024,NSW,105,Far West and Orana,3533,116761,303
2024,NT,702,Northern Territory - Outback,2438,98598,247
2024,NT,406,South Australia - Outback,49,85127,6
2024,NT,315,Queensland - Outback,0,82186,0
2024,NT,510,Western Australia - Outback (North),0,97506,0
2024,NT,701,Darwin,3519,148919,236
2024,NT,511,Western Australia - Outback (South),15,120092,1
2024,QLD,315,Queensland - Outback,1681,82186,205
2024,QLD,702,Northern Territory - Outback,0,98598,0
2024,QLD,309,Gold Coast,14882,606073,246
2024,QLD,316,Sunshine Coast,10330,365764,282
2024,QLD,303,Brisbane - South,7749,363783,213
2024,QLD,310,Ipswich,12718,342444,371
2024,QLD,311,Logan - Beaudesert,12223,335006,365
2024,QLD,319,Wide Bay,11519,294337,391
2024,QLD,305,Brisbane Inner City,4501,273624,164
2024,QLD,306,Cairns,6404,249671,256
2024,QLD,313,Moreton Bay - North,9766,247397,395
2024,QLD,318,Townsville,7402,235634,314
2024,QLD,301,Brisbane - East,6674,234582,285
2024,QLD,308,Central Queensland,7654,225302,340
2024,QLD,302,Brisbane - North,5354,218454,245
2024,QLD,314,Moreton Bay - South,6307,207827,303
2024,QLD,304,Brisbane - West,3968,189400,210
2024,QLD,312,Mackay - Isaac - Whitsunday,4333,172557,251
2024,QLD,317,Toowoomba,5348,154805,345
2024,QLD,307,Darling Downs - Maranoa,3469,128783,269
2024,SA,406,South Australia - Outback,2378,85127,279
2024,SA,402,Adelaide - North,18826,434336,433
2024,SA,403,Adelaide - South,12226,365104,335
2024,SA,401,Adelaide - Central and Hills,7099,300017,237
2024,SA,404,Adelaide - West,7077,234981,301
2024,SA,407,South Australia - South East,5748,190793,301
2024,SA,405,Barossa - Yorke - Mid North,3377,113565,297
2024,TAS,603,South East,792,38062,208
2024,TAS,601,Hobart,6182,229260,270
2024,TAS,602,Launceston and North East,4073,143815,283
2024,TAS,604,West and North West,3097,111273,278
2024,VIC,212,Melbourne - South East,21170,818212,259
2024,VIC,213,Melbourne - West,25870,791104,327
2024,VIC,206,Melbourne - Inner,10401,658882,158
2024,VIC,209,Melbourne - North East,15069,533165,283
2024,VIC,211,Melbourne - Outer East,14304,525721,272
2024,VIC,208,Melbourne - Inner South,8178,432935,189
2024,VIC,210,Melbourne - North West,13135,393316,334
2024,VIC,207,Melbourne - Inner East,6623,386041,172
2024,VIC,214,Mornington Peninsula,9866,304552,324
2024,VIC,203,Geelong,11748,293975,400
2024,VIC,205,Latrobe - Gippsland,9444,279310,338
2024,VIC,204,Hume,5599,174580,321
2024,VIC,201,Ballarat,5714,162339,352
2024,VIC,202,Bendigo,6579,157806,417
2024,VIC,215,North West,4910,152073,323
2024,VIC,216,Shepparton,4410,132892,332
2024,VIC,217,Warrnambool and South West,3980,124703,319
2024,WA,510,Western Australia - Outback (North),1746,97506,179
2024,WA,702,Northern Territory - Outback,31,98598,3
2024,WA,406,South Australia - Outback,0,85127,0
2024,WA,901,Other Territories,0,4621,0
2024,WA,505,Perth - North West,11600,560831,207
2024,WA,506,Perth - South East,11653,510653,228
2024,WA,507,Perth - South West,10006,423839,236
2024,WA,504,Perth - North East,7150,262253,273
2024,WA,501,Bunbury,4600,181052,254
2024,WA,503,Perth - Inner,2676,179755,149
2024,WA,509,Western Australia - Wheat Belt,2700,137641,196
2024,WA,511,Western Australia - Outback (South),2423,120092,202
2024,WA,502,Mandurah,2558,100571,254
